0,1,2,3,4,5
1,The Declaration of Independence of the United States of America by Thomas Jefferson,English,"Jefferson, Thomas",1992,"Dec 1, 1971"
2,The United States Bill of Rights by United States,English,United States,1992,"Dec 1, 1972"
3,John F. Kennedy's Inaugural Address by John F. Kennedy,English,"Kennedy, John F. (John Fitzgerald)",,"Nov 1, 1973"
4,Lincoln's Gettysburg Address by Abraham Lincoln,English,"Lincoln, Abraham",,"Nov 1, 1973"
5,The United States Constitution by United States,English,United States,,"Dec 1, 1975"
6,Give Me Liberty or Give Me Death by Patrick Henry,English,"Henry, Patrick",,"Dec 1, 1976"
7,The Mayflower Compact,English,Unavailable,,"Dec 1, 1977"
8,Abraham Lincoln's Second Inaugural Address by Abraham Lincoln,English,"Lincoln, Abraham",,"Dec 1, 1978"
9,Abraham Lincoln's First Inaugural Address by Abraham Lincoln,English,"Lincoln, Abraham",,"Dec 1, 1979"
10,The King James Version of the Bible,English,Unavailable,,"Aug 1, 1989"
11,Alice's Adventures in Wonderland by Lewis Carroll,English,"Carroll, Lewis",,"Jun 27, 2008"
12,Through the Looking-Glass by Lewis Carroll,English,"Carroll, Lewis",,"Jun 25, 2008"
13,The Hunting of the Snark: An Agony in Eight Fits by Lewis Carroll,English,"Carroll, Lewis",,"Jun 25, 2008"
14,The 1990 CIA World Factbook by United States. Central Intelligence Agency,English,United States. Central Intelligence Agency,,"Apr 1, 1991"
15,"Moby-Dick; or, The Whale by Herman Melville",English,"Melville, Herman",,"May 1, 1991"
16,Peter Pan by J. M. Barrie,English,"Barrie, J. M. (James Matthew)",,"Jun 25, 2008"
17,The Book of Mormon by Church of Jesus Christ of Latter-day Saints and Smith,English,Church of Jesus Christ of Latter-day Saints,,"Jun 25, 2008"
18,"The Federalist Papers by Alexander Hamilton, John Jay, and James Madison",English,"Hamilton, Alexander",,"Aug 1, 1991"
19,The Song of Hiawatha by Henry Wadsworth Longfellow,English,"Longfellow, Henry Wadsworth",,"Jun 1, 2004"
20,Paradise Lost by John Milton,English,"Milton, John",,"Oct 1, 1991"
21,Aesop's Fables by Aesop,English,"Aesop, 621? BCE-565? BCE",,"Jun 25, 2008"
22,Roget's Thesaurus by Peter Mark Roget,English,"Roget, Peter Mark",,"Dec 1, 1991"
23,"Narrative of the Life of Frederick Douglass, an American Slave by Douglass",English,"Douglass, Frederick",,"Jan 12, 2006"
24,O Pioneers! by Willa Cather,English,"Cather, Willa",,"Jun 27, 2008"
25,The 1991 CIA World Factbook by United States. Central Intelligence Agency,English,United States. Central Intelligence Agency,,"Feb 1, 1992"
26,Paradise Lost by John Milton,English,"Milton, John",,"Feb 1, 1992"
27,Far from the Madding Crowd by Thomas Hardy,English,"Hardy, Thomas",,"Mar 1, 1992"
28,The Fables of Aesop by Aesop,English,"Aesop, 621? BCE-565? BCE",,"Mar 1, 1992"
29,The 1990 United States Census by United States. Bureau of the Census,English,United States. Bureau of the Census,,"Apr 1, 1992"
30,"The Bible, King James Version, Complete",English,Unavailable,,"Apr 1, 1992"
31,Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone by Sophocles,English,"Sophocles, 496? BCE-407 BCE",,"Mar 8, 2006"
32,Herland by Charlotte Perkins Gilman,English,"Gilman, Charlotte Perkins",,"Jun 27, 2008"
33,The Scarlet Letter by Nathaniel Hawthorne,English,"Hawthorne, Nathaniel",,"Jun 1, 1992"
34,Zen and the Art of the Internet by Brendan P. Kehoe,English,"Kehoe, Brendan P.",,"Jun 1, 1992"
35,The Time Machine by H. G. Wells,English,"Wells, H. G. (Herbert George)",,"Oct 2, 2004"
36,The War of the Worlds by H. G. Wells,English,"Wells, H. G. (Herbert George)",,"Oct 1, 2004"
37,The 1990 United States Census [2nd] by United States. Bureau of the Census,English,United States. Bureau of the Census,,"Aug 1, 1992"
38,"The Jargon File, Version 2.9.10, 01 Jul 1992 by Eric S. Raymond and Guy L. Steele",English,Unavailable,,"Aug 1, 1992"
39,Hitchhiker's Guide to the Internet by Ed Krol,English,"Krol, Ed, 1951-",,"Sep 1, 1992"
40,NorthWestNet User Services Internet Resource Guide (NUSIRG) by Jonathan Kochmer,English,"Kochmer, Jonathan",,"Sep 1, 1992"
41,The Legend of Sleepy Hollow by Washington Irving,English,"Irving, Washington",,"Jun 27, 2008"
42,The Strange Case of Dr. Jekyll and Mr. Hyde by Robert Louis Stevenson,English,"Stevenson, Robert Louis",,"Oct 1, 1992"
43,The Strange Case of Dr. Jekyll and Mr. Hyde by Robert Louis Stevenson,English,"Stevenson, Robert Louis",,"Jun 27, 2008"
44,The Song of the Lark by Willa Cather,English,"Cather, Willa",,"Jun 27, 2008"
45,Anne of Green Gables by L. M. Montgomery,English,"Montgomery, L. M. (Lucy Maud)",,"Jun 27, 2008"
46,A Christmas Carol in Prose; Being a Ghost Story of Christmas by Charles Dickens,English,"Dickens, Charles",,"Aug 11, 2004"
47,Anne of Avonlea by L. M. Montgomery,English,"Montgomery, L. M. (Lucy Maud)",,"Mar 8, 2006"
48,The 1992 CIA World Factbook by United States. Central Intelligence Agency,English,United States. Central Intelligence Agency,,"Jan 1, 1993"
49,Surfing the Internet: An Introduction by Jean Armour Polly,English,"Polly, Jean Armour",,"Jan 1, 1993"
50,Pi by Scott Hemphill,English,"Hemphill, Scott",,"Jan 1, 1993"
51,Anne of the Island by L. M. Montgomery,English,"Montgomery, L. M. (Lucy Maud)",,"Mar 8, 2006"
52,The Square Root of 2 by Stan Kerr,English,"Kerr, Stan",,"Feb 1, 1993"
53,"Workshop on Electronic Texts: Proceedings, 9-10 June 1992 by Library of Congress",English,Library of Congress,,"Feb 1, 1993"
54,The Marvelous Land of Oz by L. Frank Baum,English,"Baum, L. Frank (Lyman Frank)",,"Feb 1, 1993"
55,The Wonderful Wizard of Oz by L. Frank Baum,English,"Baum, L. Frank (Lyman Frank)",,"Feb 1, 1993"
56,NREN for All: Insurmountable Opportunity by Jean Armour Polly,English,"Polly, Jean Armour",,"Mar 1, 1993"
57,Aladdin and the Magic Lamp by Unknown,English,Unknown,,"Mar 1, 1993"
58,Paradise Regained by John Milton,English,"Milton, John",,"Mar 1, 1993"
59,Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth…,English,"Descartes, René",,"Mar 1, 1993"
60,The Scarlet Pimpernel by Baroness Emmuska Orczy Orczy,English,"Orczy, Emmuska Orczy, Baroness",,"Mar 8, 2006"
61,The Communist Manifesto by Friedrich Engels and Karl Marx,English,"Engels, Friedrich",,"Jan 25, 2005"
62,A Princess of Mars by Edgar Rice Burroughs,English,"Burroughs, Edgar Rice",,"Apr 1, 1993"
63,"The Number ""e"" by Unknown",English,Unknown,,"Apr 1, 1993"
64,The Gods of Mars by Edgar Rice Burroughs,English,"Burroughs, Edgar Rice",,"May 1, 1993"
65,"The First 100,000 Prime Numbers by Unknown",English,Unknown,,"May 1, 1993"
66,The Dawn of Amateur Radio in the U.K. and Greece: A Personal View by Norman F. Joly,English,"Joly, Norman F.",,"May 1, 1993"
67,The Black Experience in America by Norman Coombs,English,"Coombs, Norman, 1932-",,"May 1, 1993"
68,The warlord of Mars by Edgar Rice Burroughs,English,"Burroughs, Edgar Rice",,"Jun 1, 1993"
69,The 32nd Mersenne Prime by David Slowinski,English,"Slowinski, David",,"Jun 1, 1993"
70,What Is Man? and Other Essays by Mark Twain,English,"Twain, Mark",,"Sep 13, 2004"
71,On the Duty of Civil Disobedience by Henry David Thoreau,English,"Thoreau, Henry David",,"Jun 1, 1993"
72,"Thuvia, Maid of Mars by Edgar Rice Burroughs",English,"Burroughs, Edgar Rice",,"Jul 1, 1993"
73,The Red Badge of Courage: An Episode of the American Civil War by Stephen Crane,English,"Crane, Stephen",,"Jul 1, 1993"
74,"The Adventures of Tom Sawyer, Complete by Mark Twain",English,"Twain, Mark",,"Jul 1, 2004"
75,E-mail 101 by John E. Goodwin,English,"Goodwin, John E.",,"Jul 1, 1993"
76,Adventures of Huckleberry Finn by Mark Twain,English,"Twain, Mark",,"Jun 29, 2004"
77,The House of the Seven Gables by Nathaniel Hawthorne,English,"Hawthorne, Nathaniel",,"Aug 1, 1993"
78,Tarzan of the Apes by Edgar Rice Burroughs,English,"Burroughs, Edgar Rice",,"Aug 1, 1993"
79,Terminal Compromise by Winn Schwartau,English,"Schwartau, Winn, 1952-",,"Aug 1, 1993"
80,The Online World by Odd De Presno,English,"De Presno, Odd, 1944-",,"Sep 1, 1993"
81,The Return of Tarzan by Edgar Rice Burroughs,English,"Burroughs, Edgar Rice",,"Sep 1, 1993"
82,Ivanhoe: A Romance by Walter Scott,English,"Scott, Walter",,"Jun 25, 2008"
83,"From the Earth to the Moon; and, Round the Moon by Jules Verne",English,"Verne, Jules",,"Sep 1, 1993"
84,"Frankenstein; Or, The Modern Prometheus by Mary Wollstonecraft Shelley",English,"Shelley, Mary Wollstonecraft",,"Oct 1, 1993"
85,The Beasts of Tarzan by Edgar Rice Burroughs,English,"Burroughs, Edgar Rice",,"Oct 1, 1993"
86,A Connecticut Yankee in King Arthur's Court by Mark Twain,English,"Twain, Mark",,"Jul 7, 2004"
87,The 1993 CIA World Factbook by United States. Central Intelligence Agency,English,United States. Central Intelligence Agency,,"Oct 1, 1993"
88,Price/Cost Indexes from 1875 to 1989; Estimated to 2010 by Michael Hart,English,"Hart, Michael",,"Nov 1, 1993"
89,"North American Free Trade Agreement, 1992 Oct. 7 Tariff Phasing Descriptions",English,Canada,,"Nov 1, 1993"
90,The Son of Tarzan by Edgar Rice Burroughs,English,"Burroughs, Edgar Rice",,"Nov 1, 1993"
91,Tom Sawyer Abroad by Mark Twain,English,"Twain, Mark",,"Sep 14, 2004"
92,Tarzan and the Jewels of Opar by Edgar Rice Burroughs,English,"Burroughs, Edgar Rice",,"Dec 1, 1993"
93,"Tom Sawyer, Detective by Mark Twain",English,"Twain, Mark",,"Sep 14, 2004"
94,Alexander's Bridge by Willa Cather,English,"Cather, Willa",,"Mar 8, 2006"
95,The Prisoner of Zenda by Anthony Hope,English,"Hope, Anthony",,"Jan 9, 2006"
96,The Monster Men by Edgar Rice Burroughs,English,"Burroughs, Edgar Rice",,"Jan 1, 1994"
97,Flatland: A Romance of Many Dimensions by Edwin Abbott Abbott,English,"Abbott, Edwin Abbott",,"Jan 1, 1994"
98,A Tale of Two Cities by Charles Dickens,English,"Dickens, Charles",,"Jan 1, 1994"
99,Collected Articles of Frederick Douglass by Frederick Douglass,English,"Douglass, Frederick",,"Jan 1, 1994"
